Nazwa filmu,Url filmu,Data i autor,Czas trwania
Transfer Technologii z Politechniką Krakowską - Wideo ...,"https://www.transfer.edu.pl/pl/wideo,27,transfer-technologii-z-politechnika-krakowska,756.chtm",21 wrz 2015 - Przesłany przez: CTTPK0,▶ 3:39
VII Zaduszki Politechniki Krakowskiej - YouTube,https://www.youtube.com/watch?v=X5tmgEnCABA,15 lis 2019 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 3:19
Radio Nowinki Politechnika Krakowska,http://nowinki.mech.pk.edu.pl/video/nowy_rok_akademicki_201819.html,3 paź 2019 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 4:13
Politechnika Krakowska im. Tadeusza Kościuszki - Gadżety ...,https://pl-pl.facebook.com/Politechnika.Krakowska/videos/gad%C5%BCety-pk-na-wil-u/1904376519658517/,12 paź 2018,▶ 0:39
Dzień otwarty PK 20.03.2015 - YouTube,https://www.youtube.com/watch?v=np9fqjbBbXg,1 kwi 2015 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 3:13
Święto Szkoły 2019 - YouTube,https://www.youtube.com/watch?v=XzWJNeonIvg,24 maj 2019 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 3:57
Politechnika Krakowska im. Tadeusza Kościuszki - „O włos od ...,https://pl-pl.facebook.com/Politechnika.Krakowska/videos/o-w%C5%82os-od-pomocy-na-pk/252465805448112/,13 wrz 2019,▶
Politechnika Krakowska im. Tadeusza Kościuszki - Gadżety ...,https://www.facebook.com/Politechnika.Krakowska/videos/gad%C5%BCety-pk/1627357764006565/,7 mar 2018,▶ 0:24
Katedra Systemów Transportowych - Politechnika Krakowska,http://www.kst.pk.edu.pl/,24 cze 2015 - Przesłany przez: Katedra Systemów Transportowych PK,▶ 0:24
Święto Szkoły 2019 - Radio Nowinki Politechnika Krakowska,http://nowinki.mech.pk.edu.pl/video/swieto_szkoly_2019.html,24 maj 2019 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 3:57
Politechnika Krakowska im. Tadeusza Kościuszki - Facebook,https://www.facebook.com/Politechnika.Krakowska/videos/zapraszamy-na-transmisj%C4%99-ze-%C5%9Bwi%C4%99ta-szko%C5%82y/505146256689599/,17 maj 2019,▶ 1:29:32
Radio Nowinki Politechnika Krakowska,http://nowinki.mech.pk.edu.pl/video/najlepszy_sposob_na_majowke.html,10 maj 2018 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 4:22
57. Elficki Rajd Politechniki Krakowskiej - YouTube,https://www.youtube.com/watch?v=UmRXezXn3_w,8 maj 2019 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 4:24
Oferta technologiczna Politechniki Krakowskiej - Wideo ...,"http://transfer.edu.pl/pl/wideo,27,oferta-technologiczna-politechniki-krakowskiej,1064.chtm",30 wrz 2017 - Przesłany przez: CTTPK0,▶ 1:02
An error occurred. - Politechnika Krakowska im. Tadeusza ...,https://www.pk.edu.pl/index.php?option=com_content&view=article&id=2294&Itemid=955&lang=pl,11 maj 2018 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 3:39
Politechnika Krakowska im. Tadeusza Kościuszki - Studia na ...,https://www.facebook.com/Politechnika.Krakowska/videos/1378461825562828/,30 cze 2017,▶ 18:15
Politechnika Krakowska im. Tadeusza Kościuszki - Nowe ...,https://zh-cn.facebook.com/Politechnika.Krakowska/videos/325271798302341/,5 lip 2019,▶ 2:17
56. EKSTRAligowy Rajd PK - YouTube,https://www.youtube.com/watch?v=x00s7hGPQs4,8 maj 2018 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 4:22
Politechnika Krakowska im. Tadeusza Kościuszki - „O włos od ...,https://hi-in.facebook.com/Politechnika.Krakowska/videos/252465805448112/,13 lis 2018,▶ 3:40
Studiuj na PK! - Radio Nowinki Politechnika Krakowska,http://nowinki.mech.pk.edu.pl/video/studiuj_na_pk.html,4 lip 2018 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 1:05
Zapraszamy na transmisję ze Święta Szkoły! - Politechnika ...,https://www.facebook.com/Politechnika.Krakowska/videos/505146256689599/,17 maj 2019,▶ 1:29:32
Politechnika Krakowska im. Tadeusza Kościuszki - pomaturze.pl,https://www.pomaturze.pl/szkola/politechnika/2030:606,11 gru 2018 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 1:05
LIRK PK - Radio Nowinki Politechnika Krakowska,http://nowinki.mech.pk.edu.pl/video/lirk_pk.html,28 sty 2020 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 3:03
Złoty Indeks PK 2019 - YouTube,https://www.youtube.com/watch?v=tKuYPY3CI6g,11 kwi 2019 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 2:48
PK bez barier - YouTube,https://www.youtube.com/watch?v=5GkqwVcc8OY,11 wrz 2019 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 5:07
Politechnika Krakowska im. Tadeusza Kościuszki - Dzień ...,https://es-la.facebook.com/Politechnika.Krakowska/videos/dzie%C5%84-otwarty-na-wil-i-dzie%C5%84-l%C4%85dowca/1670004129741928/,13 wrz 2019,▶
System skaningu laserowego - Wideo - Politechnika Krakowska,"https://www.transfer.edu.pl/pl/wideo,27,system-skaningu-laserowego-spektronik-sp-z-o-o-oferta-technologiczna-politechniki-krakowskiej,1339.chtm",4 lut 2019 - Przesłany przez: CTTPK0,▶ 0:36
Dzień Otwarty 2019 - YouTube,https://www.youtube.com/watch?v=U3i44zB1Nlw,26 mar 2019 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 4:39
Radio Nowinki Politechnika Krakowska,http://nowinki.mech.pk.edu.pl/video/blyskawice_bez_tajemnic.html,9 lis 2019 - Przesłany przez: Kamil - In Travel,▶ 13:28
PK Zaduszki - YouTube,https://www.youtube.com/watch?v=Qp2FiM4T8o0,16 lis 2015 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 2:39
Dziś na PK Dzień Liczby Pi. Czy padnie nowy rekord?,https://www.pk.edu.pl/index.php?option=com_content&view=article&id=2835:niedlugo-dzien-liczby-pi-czy-padnie-nowy-rekord&catid=49&lang=pl&Itemid=944,7 mar 2019 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 3:26
